,AGE,CRMS,DFE,DIST,DLOGG,DMONH,DNA,DNI,DSI,DTEFF,DTI,DVRAD,DVSINI,FE,ITER,LOGG,LRMS,LUM,MASS,MONH,NA,NAME,NI,RADIUS_ISO,RADIUS_LT,RCHISQ,RUNNUM,SDCRMS,SDFE,SDLOGG,SDLRMS,SDMONH,SDNA,SDNI,SDRCHISQ,SDSI,SDTEFF,SDTI,SDVSINI,SI,SOURCE,STAR,SVRAD,TEFF,TI,UAGE,UFE,ULOGG,ULUM,UMASS,UMONH,UNA,UNI,URADIUS_ISO,URADIUS_LT,USI,UTEFF,UTI,UVABS,UVMAG,UVRAD,UVSINI,VABS,VMAG,VRAD,VSINI,mannName
10013,5.45020866394,0.0106163956225,0.0370201133192,-99.0,-0.0739998817444,-0.00400000065565,0.0770702362061,0.0455754101276,0.0128111541271,-23.0,-0.0231964513659,0.119999967515,0.0400000028312,0.0799824744463,7.0,4.48259592056,0.0141087127849,0.675816237926,0.939241528511,0.0280278753489,0.0777263119817,10013,0.0800944194198,0.912835121155,0.918507218361,24.8424758911,rj23.1111,0.000204995827517,0.0267039779574,0.0,0.000378364813514,0.0398373790085,0.0277682580054,0.0137204444036,1.35123515129,0.00278372177854,32.9089660645,0.038932107389,0.254184186459,0.0702682137489,SME,10013_rj23,0.0,5459.0,0.0575100816786,3.22412776947,0.0299999993294,0.0599999986589,0.675816237926,0.0255374908447,0.0289999991655,0.0320000015199,0.0299999993294,0.0382819771767,0.918507218361,0.0189999993891,44.0,0.0460000000894,0.112677529454,0.0500000007451,0.300000011921,0.5,5.29861927032,8.52999973297,-0.525480687618,0.256593942642,
102195,1.95040369034,0.00836943369359,0.0466917641461,-99.0,-0.0739998817444,-0.00400000065565,0.0831684246659,0.0585509128869,0.00307430257089,-23.0,-0.0141908852383,0.119999967515,0.039999961853,0.110318519175,2.0,4.55595254898,0.0142916208133,0.453963518143,0.914801478386,0.0494752638042,0.00852496456355,102195,0.0484024472535,0.832752287388,0.784959077835,28.7575378418,rj15.2019,0.00032515564817,0.016395593062,0.0,0.000192712221178,0.0335756763816,0.01958572492,0.00909201707691,0.718805670738,0.0013173148036,31.5753059387,0.0503207780421,0.0340031944215,0.0360717140138,SME,102195_rj15,0.0,5346.0,0.0656700357795,2.17539215088,0.0299999993294,0.0599999986589,0.453963518143,0.0190800726414,0.0289999991655,0.0320000015199,0.0299999993294,0.0182660520077,0.784959077835,0.0189999993891,44.0,0.0460000000894,0.0884739458561,0.0500000007451,0.300000011921,0.5,5.75972414017,8.06999969482,0.138636738062,2.67483258247,
103417,1.88345420361,0.013360645622,0.0267685558647,-99.0,-0.0739998817444,-0.00399999553338,0.0699636340141,0.0323267839849,0.0178196821362,-23.0,-0.031733494252,0.119999967515,0.039999961853,0.21153318882,2.0,4.49666690826,0.0128200724721,0.684600770473,1.01364135742,0.12924464047,0.265095859766,103417,0.220450103283,0.935686826706,0.890108525753,16.1000232697,rj32.1738,0.000639865815174,0.0192075800151,0.0,0.000391717825551,0.0479768887162,0.0271543767303,0.0162866730243,1.02382230759,0.00560824433342,41.1015014648,0.0240977127105,0.0175067093223,0.23470056057,SME,103417_rj32,0.0,5563.33349609,0.165752291679,1.78101885319,0.0299999993294,0.0599999986589,0.684600770473,0.0189299583435,0.0289999991655,0.0320000015199,0.0299999993294,0.0290040969849,0.890108525753,0.0189999993891,44.0,0.0460000000894,0.126673713326,0.0500000007451,0.300000011921,0.5,5.26017189026,8.80000019073,0.011890642345,1.07814824581,
104588,5.6842546463,0.0192289501429,0.0107585890219,-99.0,-0.0739998817444,-0.00400000810623,0.0602165348828,0.0140560464934,0.0197816994041,-23.0,-0.0446490943432,0.119999967515,0.039999961853,0.325749546289,6.0,4.15691232681,0.013868288137,2.0693860054,1.16003441811,0.254721879959,0.285885363817,104588,0.341773241758,1.47868669033,1.47027313709,18.5008640289,rj32.1741,3.21841216646e-05,0.00599189754575,0.0,1.69410941453e-05,0.00117853563279,0.0080236280337,0.00118726596702,0.0566775724292,0.000972900423221,5.6862411499,0.00338465115055,0.0350103713572,0.299416124821,SME,104588_rj32,0.0,5707.66650391,0.281874805689,0.819866895676,0.0299999993294,0.0599999986589,2.0693860054,0.0353465080261,0.0289999991655,0.0320000015199,0.0299999993294,0.146468520164,1.47027313709,0.0189999993891,44.0,0.0460000000894,0.209625869989,0.0500000007451,0.300000011921,0.5,4.02675819397,8.65999984741,0.132474452257,2.87352466583,
10476,3.76235604286,0.0094477571547,0.0539337098598,-99.0,-0.0739998817444,-0.00400000065565,0.0857373178005,0.0676590278745,-0.0100771524012,-23.0,-0.00590011104941,0.119999967515,0.0400000214577,0.00735278939828,8.0,4.57090711594,0.0190693903714,0.419241786003,0.863214552402,0.0144228274003,0.0252586845309,10476,0.00167691649403,0.794773101807,0.783574938774,56.9986877441,rj13.2068,0.00133656850085,0.0118383392692,0.0,0.00026690310915,0.0636174455285,0.0330187790096,0.00858640111983,1.44561672211,0.0116368466988,48.3356323242,0.0386284142733,0.0,-0.0286197457463,SME,10476_rj13,0.0,5245.33349609,0.0446530170739,3.20539808273,0.0299999993294,0.0599999986589,0.419241786003,0.0233752727509,0.0289999991655,0.0320000015199,0.0299999993294,0.0157282352448,0.783574938774,0.0189999993891,44.0,0.0460000000894,0.0521320812404,0.0500000007451,0.300000011921,0.5,5.87406492233,5.23999977112,-0.0422775894403,0.540000021458,
10479,2.11516976357,0.011211370118,0.045668553561,-99.0,-0.074000120163,-0.00400000018999,0.0826647654176,0.0572047829628,0.0046000033617,-23.0,-0.0152652561665,0.119999967515,0.039999961853,0.162432983518,9.0,3.55620384216,0.0271427575499,14.4745740891,1.74058055878,-0.0105370432138,0.0744959041476,10479,0.129104793072,3.52557373047,4.41037797928,47.9950370789,rj62.168,6.20788996457e-05,0.00684618856758,0.0,1.99985406653e-05,0.00795744452626,0.00640335818753,0.00819915998727,0.0629880726337,0.00676190434024,7.63762617111,0.0129989376292,0.0263606756926,-0.110330618918,SME,10479_rj62,0.0,5359.33349609,0.317980319262,0.91086435318,0.0299999993294,0.0599999986589,14.4745740891,0.333764731884,0.0289999991655,0.0320000015199,0.0299999993294,1.26379871368,4.41037797928,0.0189999993891,44.0,0.0460000000894,0.66126704216,0.0500000007451,0.300000011921,0.5,1.98737049103,8.77999973297,0.841615378857,3.37757754326,
105631,1.86393153667,0.00840414687991,0.0399362035096,-99.0,-0.0739998817444,-0.00399999832734,0.0790461972356,0.0494862347841,0.0104895085096,-23.0,-0.0206190571189,0.119999967515,0.039999961853,0.186054423451,3.0,4.53420686722,0.013660531491,0.550599634647,0.9634988904,0.115749776363,0.145708873868,105631,0.158552393317,0.864231824875,0.838969409466,19.0739040375,rj50.363,0.000693187699653,0.0141685782,0.0,0.000273464916972,0.051010876894,0.026301600039,0.00904920138419,0.794509232044,0.00136440922506,34.5591278076,0.0428609214723,0.0554760918021,0.14189954102,SME,105631_rj50,0.0,5426.66650391,0.114082239568,1.64118254185,0.0299999993294,0.0599999986589,0.550599634647,0.0176192522049,0.0289999991655,0.0320000015199,0.0299999993294,0.0141806006432,0.838969409466,0.0189999993891,44.0,0.0460000000894,0.0720055326819,0.0500000007451,0.300000011921,0.5,5.52762317657,7.46000003815,0.531215131283,1.87607586384,
107181,5.81293964386,0.0197797343135,0.0130278961733,-99.0,-0.0739998817444,-0.00400000810623,0.0614178180695,0.0164154563099,0.0198328495026,-23.0,-0.0428065545857,0.119999967515,0.039999961853,0.355325102806,3.0,4.09331130981,0.0162761732936,2.44681453705,1.18705201149,0.302636653185,0.41179189086,107181,0.37871876359,1.61882388592,1.60962569714,10.0759077072,rj20.823,4.37209710071e-05,0.00966584309936,0.0,6.46461849101e-05,0.0187044087797,0.00815688166767,0.00922845769674,0.0823150873184,0.00453327316791,14.4683561325,0.0127722192556,0.00809391681105,0.306672841311,SME,107181_rj20,0.0,5688.33349609,0.323218256235,0.736592292786,0.0299999993294,0.0599999986589,2.44681453705,0.0379993319511,0.0289999991655,0.0320000015199,0.0299999993294,0.140836417675,1.60962569714,0.0189999993891,44.0,0.0460000000894,0.19985319674,0.0500000007451,0.300000011921,0.5,3.84751319885,8.43000030518,1.52052783966,2.33494758606,
109358,9.15566062927,0.00839181616902,0.0020936478395,-99.0,-0.0739998817444,-0.00399999832734,0.0563990473747,0.0058949389495,0.0188413709402,-23.0,-0.0518332533538,0.119999967515,0.039999961853,-0.247379645705,6.0,4.33491516113,0.0109675927088,1.20913267136,0.929003298283,-0.247779607773,-0.266490459442,109358,-0.284446030855,1.07785844803,1.09641802311,13.5696372986,rj122.680,3.14458047797e-05,0.00387528771535,0.0,3.86405054087e-06,0.0109092108905,0.0016599012306,0.00363319809549,0.00538295134902,0.00251223356463,5.6862411499,0.00443059066311,0.00882925651968,-0.20004568994,SME,109358_rj55,0.0,5778.66650391,-0.172052070498,1.23257923126,0.0299999993294,0.0599999986589,1.20913267136,0.0202823877335,0.0289999991655,0.0320000015199,0.0299999993294,0.028579890728,1.09641802311,0.0189999993891,44.0,0.0460000000894,0.0522266700864,0.0500000007451,0.300000011921,0.5,4.62611246109,4.23999977112,0.326258033514,2.28682279587,
109718,2.34594011307,0.0152671569958,-0.0305677503347,-99.0,-0.0739998817444,-0.00400000065565,0.054753780365,-0.0121465874836,0.00943681132048,-23.0,-0.0823430344462,0.119999967515,0.039999961853,0.186403870583,7.0,4.35413312912,0.0125953694806,2.18262314796,1.17438483238,0.0908532217145,0.16670961678,109718,0.174598380923,1.19242489338,1.35779798031,14.8500204086,rj32.1745,1.49163379319e-05,0.00316749839112,0.0,9.64932496572e-06,0.00317584211007,0.0026391998399,0.00263452879153,0.0218271184713,0.00708900531754,1.73205077648,0.0242722705007,0.0387157462537,0.132859408855,SME,109718_rj32,0.0,6019.0,0.246352627873,1.25304675102,0.0299999993294,0.0599999986589,2.18262314796,0.0360400080681,0.0289999991655,0.0320000015199,0.0299999993294,0.167866051197,1.35779798031,0.0189999993891,44.0,0.0460000000894,0.317565202713,0.0500000007451,0.300000011921,0.5,3.92473125458,9.11999988556,1.32358264923,3.40457844734,
